Project ID,Start Date,End Date,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Actual Cost,Progress
P001,21/07/2024,08/08/2024,Medium,T001,Task 001 of Renovation of a School Project 001,In Progress,Bob,12,0,0.24
P001,21/07/2024,12/08/2024,High,T002,Task 002 of Renovation of a School Project 001,In Progress,Charlie,4,0,0.56
P001,21/07/2024,10/08/2024,High,T003,Task 003 of Renovation of a School Project 001,Completed,Charlie,5,1011,1
P002,04/06/2024,12/07/2025,High,T001,Task 001 of Innovation of a Classroom Project 002,Pending,Charlie,24,0,0.33
P002,04/06/2024,26/06/2025,Medium,T002,Task 002 of Innovation of a Classroom Project 002,Pending,Charlie,26,0,0.32
P002,04/06/2024,25/03/2025,Low,T003,Task 003 of Innovation of a Classroom Project 002,In Progress,Alice,28,0,0.29
P003,20/07/2024,22/08/2024,Low,T001,Task 001 of Construction of a Hospital Wing Project 003,Completed,Grace,7,7717,1
P003,20/07/2024,25/09/2024,Medium,T002,Task 002 of Construction of a Hospital Wing Project 003,Completed,Frank,23,637,1
P003,20/07/2024,22/08/2024,Medium,T003,Task 003 of Construction of a Hospital Wing Project 003,Completed,Grace,13,8502,1
P004,25/04/2024,06/05/2024,Medium,T001,Task 001 of Road Expansion Project 004,Completed,Frank,28,3369,1
P004,25/04/2024,05/05/2024,High,T002,Task 002 of Road Expansion Project 004,In Progress,Charlie,26,0,0.99
P004,25/04/2024,10/05/2024,Medium,T003,Task 003 of Road Expansion Project 004,Pending,Charlie,18,0,0.74
P005,30/06/2024,31/07/2025,Medium,T001,Task 001 of Bridge Maintenance Project 005,Pending,Charlie,18,0,0.78
P005,30/06/2024,02/08/2024,Medium,T002,Task 002 of Bridge Maintenance Project 005,Completed,Frank,7,2643,1
P005,30/06/2024,30/06/2025,High,T003,Task 003 of Bridge Maintenance Project 005,Pending,Grace,0,0,0.04
P006,09/08/2024,11/09/2024,Low,T001,Task 001 of Office Building Renovation Project 006,Completed,Alice,9,2739,1
P006,09/08/2024,11/09/2024,Medium,T002,Task 002 of Office Building Renovation Project 006,Completed,Frank,40,6402,1
P006,09/08/2024,20/02/2025,High,T003,Task 003 of Office Building Renovation Project 006,In Progress,Charlie,40,0,0.07
P007,06/08/2024,17/11/2024,High,T001,Task 001 of Apartment Complex Development Project 007,Pending,Ivy,32,0,0.62
P007,06/08/2024,29/11/2024,Medium,T002,Task 002 of Apartment Complex Development Project 007,Pending,Grace,25,0,0.85
P007,06/08/2024,17/11/2024,Low,T003,Task 003 of Apartment Complex Development Project 007,Pending,Ivy,10,0,0.92
P008,17/04/2024,13/09/2024,Medium,T001,Task 001 of Commercial Center Construction Project 008,Pending,Alice,17,0,0.59
P008,17/04/2024,05/11/2024,Low,T002,Task 002 of Commercial Center Construction Project 008,Pending,Charlie,21,0,0.26
P008,17/04/2024,19/10/2024,High,T003,Task 003 of Commercial Center Construction Project 008,Pending,Charlie,7,0,0.45
P009,27/04/2024,28/04/2025,High,T001,Task 001 of Highway Reconstruction Project 009,Pending,Charlie,35,0,0.36
P009,27/04/2024,01/06/2025,Medium,T002,Task 002 of Highway Reconstruction Project 009,Pending,Ivy,2,0,0.88
P009,27/04/2024,26/05/2025,Low,T003,Task 003 of Highway Reconstruction Project 009,Pending,Charlie,26,0,0.97
P010,14/02/2024,15/06/2024,High,T001,Task 001 of Airport Expansion Project 010,Pending,Grace,32,4850,0.1
P010,14/02/2024,08/06/2024,High,T002,Task 002 of Airport Expansion Project 010,Pending,Alice,16,0,0.7
P010,14/02/2024,26/05/2024,Low,T003,Task 003 of Airport Expansion Project 010,Pending,Charlie,11,0,0.6
P011,08/05/2024,28/07/2024,High,T001,Task 001 of Shopping Mall Renovation Project 011,In Progress,Eve,15,0,0.64
P011,08/05/2024,19/08/2024,High,T002,Task 002 of Shopping Mall Renovation Project 011,In Progress,Eve,40,0,0.44
P011,08/05/2024,01/08/2024,High,T003,Task 003 of Shopping Mall Renovation Project 011,Pending,Alice,1,0,0.02
P012,27/01/2024,29/02/2024,High,T001,Task 001 of University Dormitory Construction Project 012,Completed,Frank,15,1679,1
P012,27/01/2024,29/02/2024,High,T002,Task 002 of University Dormitory Construction Project 012,Completed,Bob,40,8464,1
P012,27/01/2024,27/06/2025,Medium,T003,Task 003 of University Dormitory Construction Project 012,Pending,Alice,18,0,0.98
P013,09/02/2024,24/08/2024,Medium,T001,Task 001 of Sports Stadium Upgrade Project 013,Completed,Alice,12,9379,1
P013,09/02/2024,06/07/2024,Medium,T002,Task 002 of Sports Stadium Upgrade Project 013,In Progress,Bob,38,0,0.28
P013,09/02/2024,28/07/2024,Medium,T003,Task 003 of Sports Stadium Upgrade Project 013,In Progress,Alice,6,0,0.55
P014,30/07/2024,20/12/2024,Low,T001,Task 001 of Public Library Renovation Project 014,In Progress,Grace,31,0,0.1
P014,30/07/2024,30/01/2025,Low,T002,Task 002 of Public Library Renovation Project 014,Pending,Charlie,8,0,0.82
P014,30/07/2024,29/12/2024,Medium,T003,Task 003 of Public Library Renovation Project 014,Pending,Charlie,6,0,0.22
P015,17/03/2024,19/04/2024,High,T001,Task 001 of Building a Park Project 015,Completed,Ivy,8,4608,1
P015,17/03/2024,19/04/2024,Medium,T002,Task 002 of Building a Park Project 015,Completed,Charlie,4,528,1
P015,17/03/2024,19/04/2024,High,T003,Task 003 of Building a Park Project 015,Completed,Bob,22,5232,1
P016,18/02/2024,25/09/2024,Medium,T001,Task 001 of Renovation of a School Project 016,Completed,Bob,5,3610,1
P016,18/02/2024,22/10/2024,High,T002,Task 002 of Renovation of a School Project 016,Pending,Eve,27,0,0.38
P016,18/02/2024,15/09/2024,Medium,T003,Task 003 of Renovation of a School Project 016,Pending,Eve,25,0,0.55
P017,02/04/2024,25/10/2024,Low,T001,Task 001 of Innovation of a Classroom Project 017,Pending,Eve,40,0,0.87
P017,02/04/2024,23/09/2024,High,T002,Task 002 of Innovation of a Classroom Project 017,Completed,Charlie,34,5481,1
P017,02/04/2024,14/10/2024,High,T003,Task 003 of Innovation of a Classroom Project 017,In Progress,Alice,18,0,0.62
P018,09/02/2024,05/03/2024,Medium,T001,Task 001 of Construction of a Hospital Wing Project 018,In Progress,Grace,26,0,0.66
P018,09/02/2024,01/03/2024,Medium,T002,Task 002 of Construction of a Hospital Wing Project 018,In Progress,Grace,37,0,0.54
P018,09/02/2024,25/02/2024,Medium,T003,Task 003 of Construction of a Hospital Wing Project 018,Pending,Grace,7,0,0.2
P019,10/06/2024,30/12/2024,High,T001,Task 001 of Road Expansion Project 019,Pending,Grace,11,0,0.61
P019,10/06/2024,25/09/2024,Medium,T002,Task 002 of Road Expansion Project 019,Completed,Ivy,1,7263,1
P019,10/06/2024,24/12/2024,Medium,T003,Task 003 of Road Expansion Project 019,Pending,Charlie,13,0,0.46
P020,10/04/2024,03/07/2024,Medium,T001,Task 001 of Bridge Maintenance Project 020,Completed,Eve,18,7526,1
P020,10/04/2024,02/08/2024,High,T002,Task 002 of Bridge Maintenance Project 020,In Progress,Grace,36,0,0.84
P020,10/04/2024,02/07/2024,High,T003,Task 003 of Bridge Maintenance Project 020,Pending,Grace,24,0,0.11
P021,21/03/2024,15/12/2024,High,T001,Task 001 of Office Building Renovation Project 021,In Progress,Alice,26,0,0.43
P021,21/03/2024,25/09/2024,High,T002,Task 002 of Office Building Renovation Project 021,Completed,Frank,21,2091,1
P021,21/03/2024,20/09/2024,High,T003,Task 003 of Office Building Renovation Project 021,Completed,Ivy,15,7940,1
P022,09/01/2024,11/04/2024,High,T001,Task 001 of Apartment Complex Development Project 022,In Progress,Ivy,6,0,0.68
P022,09/01/2024,28/04/2024,Medium,T002,Task 002 of Apartment Complex Development Project 022,In Progress,Grace,7,0,0.28
P022,09/01/2024,24/04/2024,High,T003,Task 003 of Apartment Complex Development Project 022,In Progress,Ivy,18,2183,0.77
P023,04/01/2024,18/05/2024,High,T001,Task 001 of Commercial Center Construction Project 023,Pending,Alice,17,0,0.45
P023,04/01/2024,01/06/2024,Medium,T002,Task 002 of Commercial Center Construction Project 023,Pending,Charlie,27,0,0.02
P023,04/01/2024,10/04/2024,Low,T003,Task 003 of Commercial Center Construction Project 023,In Progress,Charlie,19,0,0.45
P024,16/08/2024,29/08/2024,Medium,T001,Task 001 of Highway Reconstruction Project 024,In Progress,Charlie,1,0,0.05
P024,16/08/2024,04/09/2024,Low,T002,Task 002 of Highway Reconstruction Project 024,Pending,Ivy,1,0,0.75
P024,16/08/2024,01/09/2024,Medium,T003,Task 003 of Highway Reconstruction Project 024,Completed,Eve,24,8659,1
P025,05/05/2024,20/07/2024,High,T001,Task 001 of Airport Expansion Project 025,Completed,Alice,37,8487,1
P025,05/05/2024,17/07/2024,Low,T002,Task 002 of Airport Expansion Project 025,In Progress,David,10,0,0.72
P025,05/05/2024,03/07/2024,Medium,T003,Task 003 of Airport Expansion Project 025,In Progress,Charlie,16,0,0.5
P026,08/07/2024,30/04/2025,Low,T001,Task 001 of Shopping Mall Renovation Project 026,In Progress,Eve,21,0,0.1
P026,08/07/2024,10/08/2024,Medium,T002,Task 002 of Shopping Mall Renovation Project 026,Completed,Eve,34,8002,1
P026,08/07/2024,06/04/2025,High,T003,Task 003 of Shopping Mall Renovation Project 026,Pending,Alice,3,0,0.82
P027,03/01/2024,28/12/2024,High,T001,Task 001 of University Dormitory Construction Project 027,In Progress,Frank,35,0,0.84
P027,03/01/2024,22/03/2025,Low,T002,Task 002 of University Dormitory Construction Project 027,In Progress,Bob,7,4190,1
P027,03/01/2024,19/01/2025,Medium,T003,Task 003 of University Dormitory Construction Project 027,In Progress,Alice,30,0,0.19
P028,25/07/2024,19/01/2025,Medium,T001,Task 001 of Sports Stadium Upgrade Project 028,Pending,Alice,22,0,0.31
P028,25/07/2024,28/05/2025,Medium,T002,Task 002 of Sports Stadium Upgrade Project 028,Pending,Bob,16,0,0.78
P028,25/07/2024,16/01/2025,Low,T003,Task 003 of Sports Stadium Upgrade Project 028,Pending,David,23,0,0.98
P029,10/04/2024,13/05/2024,Low,T001,Task 001 of Public Library Renovation Project 029,Completed,Grace,33,3235,1
P029,10/04/2024,21/12/2024,High,T002,Task 002 of Public Library Renovation Project 029,Pending,Charlie,30,0,0.15
P029,10/04/2024,23/01/2025,High,T003,Task 003 of Public Library Renovation Project 029,Pending,Charlie,22,0,0.4
P030,16/07/2024,29/07/2024,High,T001,Task 001 of Building a Park Project 030,Pending,Ivy,33,0,0.79
P030,16/07/2024,29/07/2024,High,T002,Task 002 of Building a Park Project 030,Pending,Charlie,1,0,0.28
P030,16/07/2024,29/07/2024,High,T003,Task 003 of Building a Park Project 030,In Progress,Bob,16,0,0.07
P031,19/03/2024,09/06/2024,High,T001,Task 001 of Renovation of a School Project 031,In Progress,Bob,2,0,0.45
P031,19/03/2024,06/06/2024,High,T002,Task 002 of Renovation of a School Project 031,In Progress,Eve,11,0,0.79
P031,19/03/2024,03/06/2024,Medium,T003,Task 003 of Renovation of a School Project 031,Completed,Eve,5,3595,1
P032,02/05/2024,26/02/2025,High,T001,Task 001 of Innovation of a Classroom Project 032,In Progress,Eve,12,0,0.54
P032,02/05/2024,16/04/2025,Medium,T002,Task 002 of Innovation of a Classroom Project 032,Pending,Charlie,4,0,0.39
P032,02/05/2024,24/03/2025,Low,T003,Task 003 of Innovation of a Classroom Project 032,In Progress,David,33,0,0.79
P033,15/05/2024,25/09/2024,Low,T001,Task 001 of Construction of a Hospital Wing Project 033,Completed,David,4,4256,1
P033,15/05/2024,18/10/2024,High,T002,Task 002 of Construction of a Hospital Wing Project 033,In Progress,Grace,10,0,0.71
P033,15/05/2024,23/09/2024,High,T003,Task 003 of Construction of a Hospital Wing Project 033,Completed,David,4,7140,1
P034,13/06/2024,01/09/2024,High,T001,Task 001 of Road Expansion Project 034,Pending,Grace,14,0,0.47
P034,13/06/2024,17/08/2024,High,T002,Task 002 of Road Expansion Project 034,Completed,Ivy,22,5436,1
P034,13/06/2024,21/08/2024,High,T003,Task 003 of Road Expansion Project 034,In Progress,Charlie,32,0,0.68
P035,28/06/2024,31/07/2024,Medium,T001,Task 001 of Bridge Maintenance Project 035,Completed,Eve,14,7026,1
P035,28/06/2024,31/07/2024,Low,T002,Task 002 of Bridge Maintenance Project 035,Completed,Grace,11,6528,1
P035,28/06/2024,26/04/2025,High,T003,Task 003 of Bridge Maintenance Project 035,Pending,David,40,0,0.29
P036,26/03/2024,10/07/2024,High,T001,Task 001 of Office Building Renovation Project 036,In Progress,Alice,8,0,0.79
P036,26/03/2024,29/07/2024,Medium,T002,Task 002 of Office Building Renovation Project 036,Pending,Frank,16,0,0.64
P036,26/03/2024,28/06/2024,High,T003,Task 003 of Office Building Renovation Project 036,Completed,Ivy,32,3841,1
P037,16/01/2024,31/07/2024,Medium,T001,Task 001 of Apartment Complex Development Project 037,In Progress,Ivy,12,0,0.09
P037,16/01/2024,25/05/2024,High,T002,Task 002 of Apartment Complex Development Project 037,Completed,Grace,15,1494,1
P037,16/01/2024,13/06/2024,High,T003,Task 003 of Apartment Complex Development Project 037,Pending,Ivy,2,0,0.33
P038,15/01/2024,01/03/2024,Medium,T001,Task 001 of Commercial Center Construction Project 038,Pending,Alice,14,0,0.93
P038,15/01/2024,19/03/2024,Low,T002,Task 002 of Commercial Center Construction Project 038,Completed,Charlie,38,8463,1
P038,15/01/2024,04/03/2024,High,T003,Task 003 of Commercial Center Construction Project 038,In Progress,Charlie,32,0,0.21
P039,25/01/2024,23/03/2024,High,T001,Task 001 of Highway Reconstruction Project 039,Completed,Charlie,39,4818,1
P039,25/01/2024,31/03/2024,High,T002,Task 002 of Highway Reconstruction Project 039,Pending,Ivy,2,0,0.24
P039,25/01/2024,03/04/2024,Medium,T003,Task 003 of Highway Reconstruction Project 039,Completed,Eve,6,2824,1
