Project ID,Project Name,Project Type,Location,Project Status,Budget
P001,Renovation of a School Project 001,Renovation,Texas,Behind,9621
P001,Renovation of a School Project 001,Renovation,New Jersey,Behind,7814
P001,Renovation of a School Project 001,Renovation,Ohio,Behind,1028
P002,Innovation of a Classroom Project 002,Innovation,Pennsylvania,On Track,1530
P002,Innovation of a Classroom Project 002,Innovation,New York,On Track,7201
P002,Innovation of a Classroom Project 002,Innovation,California,On Track,9814
P003,Construction of a Hospital Wing Project 003,Construction,Pennsylvania,Completed,7981
P003,Construction of a Hospital Wing Project 003,Construction,Virginia,Completed,1032
P003,Construction of a Hospital Wing Project 003,Construction,Ohio,Completed,8546
P004,Road Expansion Project 004,Infrastructure,Pennsylvania,Completed,3728
P004,Road Expansion Project 004,Infrastructure,Texas,Completed,9707
P004,Road Expansion Project 004,Infrastructure,Texas,Completed,5712
P005,Bridge Maintenance Project 005,Maintenance,Michigan,Behind,3453
P005,Bridge Maintenance Project 005,Maintenance,California,Behind,2896
P005,Bridge Maintenance Project 005,Maintenance,Virginia,Behind,6463
P006,Office Building Renovation Project 006,Renovation,Michigan,Behind,3206
P006,Office Building Renovation Project 006,Renovation,North Carolina,Behind,6477
P006,Office Building Renovation Project 006,Renovation,Pennsylvania,Behind,8634
P007,Apartment Complex Development Project 007,Other,California,On Track,2552
P007,Apartment Complex Development Project 007,Other,Florida,On Track,4699
P007,Apartment Complex Development Project 007,Other,Pennsylvania,On Track,1720
P008,Commercial Center Construction Project 008,Construction,Illinois,On Track,9458
P008,Commercial Center Construction Project 008,Construction,Washington,On Track,4735
P008,Commercial Center Construction Project 008,Construction,Georgia,On Track,9460
P009,Highway Reconstruction Project 009,Other,Texas,On Hold,6385
P009,Highway Reconstruction Project 009,Other,Virginia,On Hold,7980
P009,Highway Reconstruction Project 009,Other,Ohio,On Hold,1106
P010,Airport Expansion Project 010,Other,New Jersey,On Track,1577
P010,Airport Expansion Project 010,Other,Ohio,On Track,3110
P010,Airport Expansion Project 010,Other,Ohio,On Track,3432
P011,Shopping Mall Renovation Project 011,Renovation,Texas,Completed,3544
P011,Shopping Mall Renovation Project 011,Renovation,Georgia,Completed,7808
P011,Shopping Mall Renovation Project 011,Renovation,Florida,Completed,1776
P012,University Dormitory Construction Project 012,Construction,Georgia,Completed,1815
P012,University Dormitory Construction Project 012,Construction,Ohio,Completed,8915
P012,University Dormitory Construction Project 012,Construction,New York,Completed,9242
P013,Sports Stadium Upgrade Project 013,Other,Florida,On Hold,9559
P013,Sports Stadium Upgrade Project 013,Other,Michigan,On Hold,4795
P013,Sports Stadium Upgrade Project 013,Other,California,On Hold,5258
P014,Public Library Renovation Project 014,Renovation,Ohio,Behind,8531
P014,Public Library Renovation Project 014,Renovation,Ohio,Behind,3564
P014,Public Library Renovation Project 014,Renovation,New Jersey,Behind,6213
P015,Building a Park Project 015,Other,Georgia,On Hold,4714
P015,Building a Park Project 015,Other,New Jersey,On Hold,1026
P015,Building a Park Project 015,Other,North Carolina,On Hold,5365
P016,Renovation of a School Project 016,Renovation,Georgia,Completed,3688
P016,Renovation of a School Project 016,Renovation,Texas,Completed,3233
P016,Renovation of a School Project 016,Renovation,Florida,Completed,8366
P017,Innovation of a Classroom Project 017,Innovation,Virginia,On Track,1856
P017,Innovation of a Classroom Project 017,Innovation,Illinois,On Track,5620
P017,Innovation of a Classroom Project 017,Innovation,Georgia,On Track,1904
P018,Construction of a Hospital Wing Project 018,Construction,Ohio,Behind,5908
P018,Construction of a Hospital Wing Project 018,Construction,North Carolina,Behind,2176
P018,Construction of a Hospital Wing Project 018,Construction,Pennsylvania,Behind,9002
P019,Road Expansion Project 019,Infrastructure,Texas,Behind,6821
P019,Road Expansion Project 019,Infrastructure,Ohio,Behind,7324
P019,Road Expansion Project 019,Infrastructure,Georgia,Behind,3099
P020,Bridge Maintenance Project 020,Maintenance,Michigan,Completed,7962
P020,Bridge Maintenance Project 020,Maintenance,California,Completed,7221
P020,Bridge Maintenance Project 020,Maintenance,Michigan,Completed,7256
P021,Office Building Renovation Project 021,Renovation,North Carolina,Behind,8483
P021,Office Building Renovation Project 021,Renovation,Michigan,Behind,2463
P021,Office Building Renovation Project 021,Renovation,Georgia,Behind,8372
P022,Apartment Complex Development Project 022,Other,Michigan,On Track,8903
P022,Apartment Complex Development Project 022,Other,California,On Track,1255
P022,Apartment Complex Development Project 022,Other,Virginia,On Track,1424
P023,Commercial Center Construction Project 023,Construction,Virginia,Behind,3662
P023,Commercial Center Construction Project 023,Construction,North Carolina,Behind,2437
P023,Commercial Center Construction Project 023,Construction,Illinois,Behind,7519
P024,Highway Reconstruction Project 024,Other,Illinois,Completed,5955
P024,Highway Reconstruction Project 024,Other,Florida,Completed,1799
